,0,1,2
101,Toz Badem 100 g,₺ 75.00,Malatya Pazarı Palancı
102,Çiğ Badem 250 g,₺ 155.00,Malatya Pazarı Palancı
103,Siirt Fıstık Vip 500 g,₺ 510.00,Malatya Pazarı Palancı
104,Çiğ Badem 500 g,₺ 300.00,Malatya Pazarı Palancı
105,Siirt Fıstık 500 g,₺ 450.00,Malatya Pazarı Palancı
106,Siirt Fıstık 250 g,₺ 225.00,Malatya Pazarı Palancı
107,Pirinç Antep Fıstık 250 g,₺ 475.00,Malatya Pazarı Palancı
108,Soyulmuş İç Antep Fıstık 250 g,₺ 645.00,Malatya Pazarı Palancı
109,Toz Boz Antep Fıstık 100 g,₺ 195.00,Malatya Pazarı Palancı
110,Toz Boz Antep Fıstık 250 g,₺ 475.00,Malatya Pazarı Palancı
111,File Antep Fıstık 250 g,₺ 475.00,Malatya Pazarı Palancı
112,File Antep Fıstık 100 g,₺ 195.00,Malatya Pazarı Palancı
113,Pirinç Antep Fıstık 100 g,₺ 195.00,Malatya Pazarı Palancı
114,Soyulmuş İç Antep Fıstık 100 g,₺ 260.00,Malatya Pazarı Palancı
115,Kavrulmuş İç Antep 250 g,₺ 435.00,Malatya Pazarı Palancı
116,Antep Fıstık 250 g,₺ 269.00,Malatya Pazarı Palancı
117,Antep Fıstık 500 g,₺ 535.00,Malatya Pazarı Palancı
118,Yerli Meyve Mix 280 g,₺ 525.00,Malatya Pazarı Palancı
119,Karışık Kurumeyve 420 g,₺ 250.00,Malatya Pazarı Palancı
120,Karışık Hurma Dolması 320 G,₺ 255.00,Malatya Pazarı Palancı
121,Sukkari Hurma Tabak 500 G,₺ 160.00,Malatya Pazarı Palancı
122,Yerli Çilek Kurusu 100 G,₺ 140.00,Malatya Pazarı Palancı
123,Yerli Ananas Kurutulmuş 100 g,₺ 235.00,Malatya Pazarı Palancı
124,Yerli İncir Kurusu 100 g,₺ 90.00,Malatya Pazarı Palancı
125,Yerli Portakal Kurusu 100 g,₺ 65.00,Malatya Pazarı Palancı
126,Yerli Şeftali Kurusu 100 g,₺ 95.00,Malatya Pazarı Palancı
127,Yerli Mandalina Kurusu 100 g,₺ 65.00,Malatya Pazarı Palancı
128,Yerli Limon Kurusu 100 g,₺ 65.00,Malatya Pazarı Palancı
129,İncir Dolgulu 250 g,₺ 185.00,Malatya Pazarı Palancı
130,Hurma Dolması Cevizli 500 G,₺ 350.00,Malatya Pazarı Palancı
131,Hurma Dolması Cevizli 250 G,₺ 175.00,Malatya Pazarı Palancı
132,İncir Dolgulu 500 g,₺ 370.00,Malatya Pazarı Palancı
133,Kuru Kayısı 220 Gr,₺ 115.00,Malatya Pazarı Palancı
134,Naturel Kayısı 220 Gr,₺ 170.00,Malatya Pazarı Palancı
135,Kuru Kayısı Yaprak 170 Gr,₺ 85.00,Malatya Pazarı Palancı
136,Naturel Kayısı Yaprak 170 Gr,₺ 90.00,Malatya Pazarı Palancı
137,Medjoul Gold Hurma 500 G,₺ 359.00,Malatya Pazarı Palancı
138,Tunus Hurma (Deglet Nur) 250 G,₺ 25.00,Malatya Pazarı Palancı
139,Tunus Hurma (Deglet Nur) 500 G,₺ 50.00,Malatya Pazarı Palancı
140,Rabbi Hurma 500 G,₺ 49.00,Malatya Pazarı Palancı
141,Medjoul Süper Jumbo Hurma Vip 250 G,₺ 210.00,Malatya Pazarı Palancı
142,Medjoul Large Hurma 250 G,₺ 165.00,Malatya Pazarı Palancı
143,Trabzon Hurması Vip 500 G,₺ 240.00,Malatya Pazarı Palancı
144,Medjoul Süper Jumbo Hurma Vip 500 G,₺ 410.00,Malatya Pazarı Palancı
145,Medjoul Gold Hurma 250 G,₺ 180.00,Malatya Pazarı Palancı
146,Rabbi Hurma 250 G,₺ 25.00,Malatya Pazarı Palancı
147,Medine Hurma 250 G,₺ 185.00,Malatya Pazarı Palancı
148,Acve Hurma 500 G,₺ 385.00,Malatya Pazarı Palancı
149,Medjoul Small Hurma 250 G,₺ 150.00,Malatya Pazarı Palancı
150,Medjoul Small Hurma 500 G,₺ 295.00,Malatya Pazarı Palancı
151,Medine Hurma 500 G,₺ 365.00,Malatya Pazarı Palancı
152,Medjoul Large Hurma 500 G,₺ 325.00,Malatya Pazarı Palancı
153,Sebze Kurusu 250 g,₺ 110.00,Malatya Pazarı Palancı
154,Medine Hurma Mabroom Vip 500 G,₺ 420.00,Malatya Pazarı Palancı
155,Acve Hurma 250 G,₺ 195.00,Malatya Pazarı Palancı
156,Medine Hurma Mabroom Vip 250 G,₺ 210.00,Malatya Pazarı Palancı
157,Besni Üzüm 250 g,₺ 135.00,Malatya Pazarı Palancı
158,Kuş Üzümü 250 g,₺ 55.00,Malatya Pazarı Palancı
159,Kuş Üzümü 500 g,₺ 110.00,Malatya Pazarı Palancı
160,Keçiboynuzu 250 g,₺ 60.00,Malatya Pazarı Palancı
161,Çekirdekli Siyah Üzüm 250 g,₺ 125.00,Malatya Pazarı Palancı
162,Dallı Siyah Üzüm 250 g,₺ 125.00,Malatya Pazarı Palancı
163,Çekirdeksiz Siyah Üzüm Vip 250 g,₺ 210.00,Malatya Pazarı Palancı
164,Besni Üzüm 500 g,₺ 269.00,Malatya Pazarı Palancı
165,Çekirdeksiz Siyah Üzüm Vip 500 g,₺ 410.00,Malatya Pazarı Palancı
166,Çekirdekli Siyah Üzüm 500 g,₺ 250.00,Malatya Pazarı Palancı
167,Dallı Siyah Üzüm 500 g,₺ 250.00,Malatya Pazarı Palancı
168,Besni Üzüm Vip 250 G,₺ 145.00,Malatya Pazarı Palancı
169,Sütlü Çikolata Kaplı Kayısı 500 g,₺ 355.00,Malatya Pazarı Palancı
170,Kuru Üzüm 500 G,₺ 120.00,Malatya Pazarı Palancı
171,Kuru Üzüm VIP 500 G,₺ 160.00,Malatya Pazarı Palancı
172,Sütlü Çikolata Kaplı Kayısı 250 g,₺ 179.00,Malatya Pazarı Palancı
173,Kuru Üzüm VIP 250 G,₺ 80.00,Malatya Pazarı Palancı
174,Kuru Üzüm 250 G,₺ 60.00,Malatya Pazarı Palancı
175,Kayısı Kuru 500 g,₺ 260.00,Malatya Pazarı Palancı
176,Naturel Kayısı Kuru 250 g,₺ 195.00,Malatya Pazarı Palancı
177,Kayısı Kuru Jumbo 500 g,₺ 269.00,Malatya Pazarı Palancı
178,Kayısı Kuru Jumbo 250 g,₺ 135.00,Malatya Pazarı Palancı
179,Kayısı Kuru 250 g,₺ 135.00,Malatya Pazarı Palancı
180,Naturel Kayısı Kuru 500 g,₺ 385.00,Malatya Pazarı Palancı
181,İncir Kuru Protoben 250 g,₺ 190.00,Malatya Pazarı Palancı
182,İncir Kuru Protoben Vip 250 g,₺ 210.00,Malatya Pazarı Palancı
183,İğde Kuru VIP 250 G,₺ 75.00,Malatya Pazarı Palancı
184,Kuru İncir 250 g,₺ 165.00,Malatya Pazarı Palancı
185,Kuru İncir 500 g,₺ 325.00,Malatya Pazarı Palancı
186,İğde Kuru VIP 500 G,₺ 145.00,Malatya Pazarı Palancı
187,İncir Kuru Protoben Vip 500 g,₺ 420.00,Malatya Pazarı Palancı
188,Sarı Erik Kuru Vip 250 g,₺ 99.00,Malatya Pazarı Palancı
189,Sarı Erik Kuru Vip 500 g,₺ 195.00,Malatya Pazarı Palancı
190,Kurutulmuş Çekirdeksiz Erik 250 g,₺ 75.00,Malatya Pazarı Palancı
191,Siyah Erik Kuru 500 g,₺ 195.00,Malatya Pazarı Palancı
192,Karadut Kurusu 250 g,₺ 125.00,Malatya Pazarı Palancı
193,Kurutulmuş Çekirdeksiz Erik 500 g,₺ 145.00,Malatya Pazarı Palancı
194,Siyah Erik Kuru 250 g,₺ 99.00,Malatya Pazarı Palancı
195,Dut Kurusu Elazığ Vip 250 g,₺ 139.00,Malatya Pazarı Palancı
196,Karadut Kurusu 500 g,₺ 250.00,Malatya Pazarı Palancı
197,Dut Kurusu Elazığ Vip 500 g,₺ 275.00,Malatya Pazarı Palancı
198,Dut Kurusu VIP Malatya 250 G,₺ 110.00,Malatya Pazarı Palancı
199,Dut Kurusu VIP Malatya 500 G,₺ 210.00,Malatya Pazarı Palancı
200,Dut Kurusu 500 g,₺ 165.00,Malatya Pazarı Palancı
201,Kurutulmuş Karışık Meyve (T.Frutti) 250 g,₺ 55.00,Malatya Pazarı Palancı
202,Dut Kurusu 250 g,₺ 85.00,Malatya Pazarı Palancı
203,Şeftali Kurusu Yaprak 250 g,₺ 125.00,Malatya Pazarı Palancı
204,Yerli Ekşi Elma Kurusu 500 g,₺ 195.00,Malatya Pazarı Palancı
205,Yaprak Erik Kurusu 500 g,₺ 250.00,Malatya Pazarı Palancı
206,Yaprak Erik Kurusu 250 g,₺ 125.00,Malatya Pazarı Palancı
207,Yerli Ekşi Elma Kurusu 250 g,₺ 99.00,Malatya Pazarı Palancı
208,Şeftali Kurusu Yaprak 500 g,₺ 250.00,Malatya Pazarı Palancı
209,Kurutulmuş Karışık Meyve (T.Frutti) 500 g,₺ 110.00,Malatya Pazarı Palancı
210,Gojiberry Kurusu 500 g,₺ 269.00,Malatya Pazarı Palancı
211,Gojiberry Kurusu 250 g,₺ 135.00,Malatya Pazarı Palancı
212,Şekerli Böğürtlen Kurusu 250 g,₺ 39.75,Malatya Pazarı Palancı
213,Çay Üzümü (Blueberries ) 250 g,₺ 220.00,Malatya Pazarı Palancı
214,Vişne Kurusu 500 g,₺ 95.00,Malatya Pazarı Palancı
215,Şekerli Böğürtlen Kurusu 500 g,₺ 79.49,Malatya Pazarı Palancı
216,Çay Üzümü (Blueberries ) 500 g,₺ 439.00,Malatya Pazarı Palancı
217,Vişne Kurusu 250 g,₺ 50.00,Malatya Pazarı Palancı
218,Şekerli Kiraz Kurusu 250 g,₺ 100.00,Malatya Pazarı Palancı
219,Şekerli Cranberry Bütün 500 g,₺ 210.00,Malatya Pazarı Palancı
220,Altın Çilek (Kur.Physalis) 250 G,₺ 195.00,Malatya Pazarı Palancı
221,Şekerli Cranberry Bütün 250 g,₺ 110.00,Malatya Pazarı Palancı
222,Altın Çilek (Kur.Physalis) 500 g,₺ 385.00,Malatya Pazarı Palancı
223,Şekerli Cranberry Dilim 500 g,₺ 189.00,Malatya Pazarı Palancı
224,Şekerli Cranberry Dilim 250 g,₺ 95.00,Malatya Pazarı Palancı
225,Şekerli Kiraz Kurusu 500 g,₺ 200.00,Malatya Pazarı Palancı
226,Şekerli Hindistan Cevizi Kurusu 500 g,₺ 235.00,Malatya Pazarı Palancı
227,Şekerli Kumkuat Kurusu 500 g,₺ 149.00,Malatya Pazarı Palancı
228,Şekerli Kumkuat Kurusu 250 g,₺ 75.00,Malatya Pazarı Palancı
229,Şekerli Muz Kurusu 250 g,₺ 115.00,Malatya Pazarı Palancı
230,Şekerli Greyfurt Kurusu 500 g,₺ 145.00,Malatya Pazarı Palancı
231,Şekerli Greyfurt Kurusu 250 g,₺ 75.00,Malatya Pazarı Palancı
232,Şekerli Hindistan Cevizi Kurusu 250 g,₺ 119.00,Malatya Pazarı Palancı
233,Şekerli Kavun Kurusu 250 g,₺ 95.00,Malatya Pazarı Palancı
234,Şekerli Kavun Kurusu 500 g,₺ 180.00,Malatya Pazarı Palancı
235,Şekerli Muz Kurusu 500 g,₺ 220.00,Malatya Pazarı Palancı
236,Şekerli Kivi Kurusu 250 g,₺ 85.00,Malatya Pazarı Palancı
237,Şekerli Mango Kurusu 250 g,₺ 95.00,Malatya Pazarı Palancı
238,Şekerli Ananas Kurusu 250 g,₺ 95.00,Malatya Pazarı Palancı
239,Şekerli Zencefil Kurusu 500 g,₺ 189.00,Malatya Pazarı Palancı
240,Şekerli Zencefil Kurusu 250 g,₺ 95.00,Malatya Pazarı Palancı
241,Şekerli Papaya Kurusu 500 g,₺ 165.00,Malatya Pazarı Palancı
242,Şekerli Elma Kurusu 500 g,₺ 200.00,Malatya Pazarı Palancı
243,Şekerli Kivi Kurusu 500 g,₺ 165.00,Malatya Pazarı Palancı
244,Şekerli Çilek Kurusu 250 G,₺ 175.00,Malatya Pazarı Palancı
245,Şekerli Elma Kurusu 250 g,₺ 100.00,Malatya Pazarı Palancı
246,Şekerli Çilek Kurusu 500 G,₺ 340.00,Malatya Pazarı Palancı
247,Şekerli Papaya Kurusu 250 g,₺ 85.00,Malatya Pazarı Palancı
248,Şekerli Mango Kurusu 500 g,₺ 180.00,Malatya Pazarı Palancı
249,Yerli Mandalina Kurusu 250 g,₺ 145.00,Malatya Pazarı Palancı
250,Yerli Trabzon Hurması 500 G,₺ 399.00,Malatya Pazarı Palancı
251,Yerli Limon Kurusu 250 g,₺ 150.00,Malatya Pazarı Palancı
252,Yerli Erik Kurusu,₺ 639.00,Malatya Pazarı Palancı
253,Yerli Şeftali Kurusu 250 g,₺ 225.00,Malatya Pazarı Palancı
254,Şekerli Ananas Kurusu 500 g,₺ 180.00,Malatya Pazarı Palancı
255,Yerli Portakal Kurusu 250 g,₺ 145.00,Malatya Pazarı Palancı
256,Yerli İncir Kurusu 250 g,₺ 210.00,Malatya Pazarı Palancı
257,Yerli Trabzon Hurması 250 G,₺ 200.00,Malatya Pazarı Palancı
258,Yerli Ayva Kurusu 250 g,₺ 35.07,Malatya Pazarı Palancı
259,Yerli Çilek Kurusu 250 G,₺ 335.00,Malatya Pazarı Palancı
260,Yerli Kivi Cipsi 250 g,₺ 235.00,Malatya Pazarı Palancı
261,Yerli Armut Kurutulmuş 250 g,₺ 155.00,Malatya Pazarı Palancı
262,Yerli Ayva Kurusu 500 g,₺ 70.14,Malatya Pazarı Palancı
263,Yerli Muz Kurusu 250 g,₺ 210.00,Malatya Pazarı Palancı
264,Yerli Elma Kurutulmuş 250 g,₺ 179.00,Malatya Pazarı Palancı
265,Yerli Armut Kurutulmuş 500 g,₺ 310.00,Malatya Pazarı Palancı
266,Yerli Ananas Kurutulmuş 250 g,₺ 575.00,Malatya Pazarı Palancı
267,Kadayıf Kaplı Bisküvi Kremalı Bohça Lokum 250 g,₺ 75.00,Malatya Pazarı Palancı
268,Hin. Cevizli Bisküvi Kremalı Bohça Lokum 250 g,₺ 75.00,Malatya Pazarı Palancı
269,Kadayıf Kaplı Bisküvi Kremalı Bohça Lokum 500 g,₺ 130.00,Malatya Pazarı Palancı
270,Hin. Cevizli Bisküvi Kremalı Bohça Lokum 500 g,₺ 130.00,Malatya Pazarı Palancı
271,Kayısılı Nugat Helva (Tropik Meyveli) 250 g,₺ 320.00,Malatya Pazarı Palancı
272,Kayısılı Nugat Helva (Fındıklı) 250 g,₺ 220.00,Malatya Pazarı Palancı
273,Kayısılı Nugat Helva (Pirinç Antep Fıstıklı) 250 g,₺ 365.00,Malatya Pazarı Palancı
274,Kayısılı Nugat Helva (Zereç Üzümlü) 250 g,₺ 320.00,Malatya Pazarı Palancı
275,Kayısılı Nugat Helva 250 g,₺ 320.00,Malatya Pazarı Palancı
276,Kayısılı Nugat Helva (Gül Yapraklı) 250 g,₺ 320.00,Malatya Pazarı Palancı
277,Ottoman Karışık Duble Lokum 230 G,₺ 115.00,Malatya Pazarı Palancı
278,Ottoman Karışık Duble Lokum 370 G,₺ 165.00,Malatya Pazarı Palancı
279,Ottoman Karışık Duble Lokum 680 G,₺ 275.00,Malatya Pazarı Palancı
